review_id,texto_review,sentimento
1,"no começo o serviço de garantia pareceu funcionar bem, mas pouco depois as informações foram contraditórias e o prazo nao foi cumprido. nao vale o preço cobrado.",negativo
2,Minha experiência com o mouse foi excelente. a relação entre preço e qualidade vale muito a pena. Minha avaliação é muito positiva.,positivo
3,"Eu esperava uma experiência razoável com o SSD, mas o resultado superou minhas expectativas. o material é firme, confortável e bem construído. Compraria novamente.",positivo
4,"A propaganda sobre o roteador é ótima; a experiêcia real, infelizmente, não foi. a bateria descarrega muito rápido e demora para carregar.",negativo
5,"Eu esperava que a cafeteira fosse excelente, mas acabou sendo uma grande decepção. apresenta travamentos e falhas durante o uso. Fiquei muito decepcionado.",negativo
6,"Confesso que achei que o módulo de alarme seria ruim, mas me surpreendeu positivamente. recebi antes do prazo e sem nenhuma avaria. Valeu cada centavo.",positivo
7,"Pesquisei bastante antes de escolher a câmera. Após comparar preço, qualidade e facilidade de uso, a experiência foi muito boa porque chegou bem embalado e em perfeito estado. Compraria novamente. 😄",positivo
8,"depois de duas semanas usando a parafusadeira, os problemas ficaram evidentes: apresenta travamentos e falhas durante o uso. a experiência foi péssima.",negativo
9,"Pesquisei bastante antes de escolher o fone de ouvido. Após comparar preço, qualdiade e facilidade de uso, a experiência foi muito boa porque o material é firme, confortável e bem construído. Pode comprar sem medo.",positivo
10,nao tenho do que reclamar sobre o ventilador. recebi antes do prazo e sem nenhuma avaria. foi uma ótima escolha.,positivo
11,"Depois de um dia usando a locadora de veículos, posso dizer que fiz uma ótima escolha: a equipe corrigiu o probelma e ainda explicou como evitar novamente. Foi uma ótima escolha.",positivo
12,nao posso recomendar a locadora de veículos. o serviço ficou instável e pior do que estava antes. minha avaliação é negativa.,negativo
13,"Não foi perfeito em todos os detalhes, porém os pontos positivos de o aplicativo de exercícios pesaram muito mais. a equipe corrigiu o problema e ainda explicou como evitar novamente.",positivo
14,"pesquisei bastante antes de escolher a bateria. após comparar preço, qualidade e facilidade de uso, a experiência foi muito boa porque recebi antes do prazo e sem nenhuma avaria. fiquei muito satisfeito com o resultado.",positivo
15,"pesquisei bastante antes de escolher o ar-condicionado. após comparar preço, qualidade e facilidade de uso, a experiência foi mto boa pq o tamanho e o acabamento correspondem ao anúncio. foi uma ótima escolha.",positivo
16,"Depois de um dia usando o módulo de vidro, os problemas ficaram evidentes: faltaram peças e não consegui concluir a instalação. Solicitei a devolução.",negativo
17,"Eu esperava uma experiência razoável com o sofá, mas o resultado superou minhas expectativas. os recursos são úteis e fáceis de configurar. Atendeu plenamente ao que eu precisava.",positivo
18,"Confesso que achei que a locadora de veículos seria ruim, mas me surpreendeu positivamente. a experiência foi organizada do início ao fim. Fiquei muito satisfeito com o resultado.",positivo
19,"Depois de várias utilizações usando o capacete, posso dizer que fiz uma ótima escolha: a qualidade ficou acima do que eu esperava. Pode comprar sem medo.",positivo
20,Minha experiência com a lâmpada inteligente foi péssima. produz ruídos estranhos e esquenta além do normal. Não recomendo.,negativo
21,"confesso que achei que o ssd seria ruim, mas me surpreendeu positivamente. funciona com rapidez e sem apresentar falhas. atendeu plenamente ao que eu precisava.",positivo
22,"Analisei preço, qualidade e facilidade de uso antes de escolher o hotel. Mesmo assim, a experiência foi ruim porque o atendimento foi grosseiro e pouco interessado. Não compraria novamente.",negativo
23,"no começo o serviço de internet pareceu funcionar bem, mas pouco depois a experiência foi desorganizada e cheia de etapas desnecessárias. fiquei muito decepcionado.",negativo
24,Não posso reocmendar o serviço de hospedagem. houve cobrança inesperada e ninguém conseguiu explicar o motivo. Precisa melhorar muito.,negativo
25,"Confesso que achei que o ar-condicionado seria ruim, mas me surpreendeu positivamente. a instalação foi simples e tudo funcionou de primeira. Pode comprar sem medo.",positivo
26,Odiei o fone de ouvido. Qualidade decepcionante e veio com defeito.,negativo
27,Estou arrependido de ter escolhido o serviço de instalação. as informações foram contraditórias e o prazo não foi cumprido. Não era o resultado que eu esperava.,negativo
28,"Houve um pequeno atraso, mas isso nao prejudicou minha avaliacao de o aplicativo de exercicios. o servico ficou pronto antes do prazo combinado. No geral, fiquei muito satisfeito.",positivo
29,"a propaganda sobre a jaqueta é ótima; a experiência real, infelizmente, nao foi. a bateria descarrega mto rápido e demora pra carregar.",negativo
30,"Eu esperava uma experiência razoável com o serviço de limpeza, mas o resultado superou minhas expectativas. não houve cobrança inesperada e tudo funcionou como informado. rceomendo sem receio.",positivo
31,"No comeco o carregador pareceu funcionar bem, mas pouco depois precisei solicitar troca porque nao funcionou desde o primeiro uso. Nao compraria novamente.",negativo
32,"pesquisei bastante antes de escolher o módulo de alarme. após comparar preço, qualidade e facilidade de uso, a experiência foi muito boa porque a instalação foi simples e tudo funcionou de primeira. pode comprar sem medo.",positivo
33,"Estou realmente contente com a impressora. o material é firme, confortável e bem construído. Foi exatamente o tipo de resultado que eu procurava. 😄",positivo
34,estou arrependido de ter escolhido o ventilador. a entrega atrasou e ainda mandaram o modelo errado. nao era o resultado que eu esperava.,negativo
35,Adorei a panela elétrica. Sueprou minhas expectativas.,positivo
